PICKUP,DROPOFF,NUMBER
Astoria-Long Island City,Astoria-Long Island City,4246	
Astoria-Long Island City,Auburndale,6	
Astoria-Long Island City,Battery Park,19	
Astoria-Long Island City,Bay Ridge,7	
Astoria-Long Island City,Bedford Park,6	
Astoria-Long Island City,Bedford-Stuyvesant,39	
Astoria-Long Island City,Bensonhurst,2	
Astoria-Long Island City,Boerum Hill,15	
Astoria-Long Island City,Borough Park,8	
Astoria-Long Island City,Brownsville,1	
Astoria-Long Island City,Bushwick,23	
Astoria-Long Island City,Canarsie,2	
Astoria-Long Island City,Carnegie Hill,29	
Astoria-Long Island City,Carroll Gardens,12	
Astoria-Long Island City,Central Park,86	
Astoria-Long Island City,Chelsea,132	
Astoria-Long Island City,Chinatown,7	
Astoria-Long Island City,Clearview,7	
Astoria-Long Island City,Clinton,98	
Astoria-Long Island City,Cobble Hill,2	
Astoria-Long Island City,Douglastown-Little Neck,3	
Astoria-Long Island City,Downtown,14	
Astoria-Long Island City,Dyker Heights,2	
Astoria-Long Island City,East Brooklyn,8	
Astoria-Long Island City,East Harlem,45	
Astoria-Long Island City,East Village,127	
Astoria-Long Island City,Financial District,76	
Astoria-Long Island City,Flushing,36	
Astoria-Long Island City,Fordham,3	
Astoria-Long Island City,Forest Hills,67	
Astoria-Long Island City,Fort Green,49	
Astoria-Long Island City,Garment District,193	
Astoria-Long Island City,Glendale,8	
Astoria-Long Island City,Gramercy,320	
Astoria-Long Island City,Gravesend-Sheepshead Bay,4	
Astoria-Long Island City,Greenwich Village,103	
Astoria-Long Island City,Greenwood,4	
Astoria-Long Island City,Hamilton Heights,26	
Astoria-Long Island City,Harlem,74	
Astoria-Long Island City,High Bridge,11	
Astoria-Long Island City,Hunts Point,5	
Astoria-Long Island City,Inwood,6	
Astoria-Long Island City,Jackson Heights,305	
Astoria-Long Island City,Jamaica,12	
Astoria-Long Island City,Kings Bridge,3	
Astoria-Long Island City,Little Italy,11	
Astoria-Long Island City,Lower East Side,90	
Astoria-Long Island City,Mapleton-Flatlands,9	
Astoria-Long Island City,Maspeth,35	
Astoria-Long Island City,Middle Village,19	
Astoria-Long Island City,Midtown,758	
Astoria-Long Island City,Morningside Heights,29	
Astoria-Long Island City,Morris Heights,1	
Astoria-Long Island City,Morris Park,5	
Astoria-Long Island City,Mott Haven,18	
Astoria-Long Island City,Murray Hill,157	
Astoria-Long Island City,Nkew Gardens,27	
Astoria-Long Island City,North Sutton Area,135	
Astoria-Long Island City,Park Slope,20	
Astoria-Long Island City,Parkchester,6	
Astoria-Long Island City,Queens Village,1	
Astoria-Long Island City,Queensboro Hill,14	
Astoria-Long Island City,Ridgewood,25	
Astoria-Long Island City,Saintalbans,2	
Astoria-Long Island City,Soho,56	
Astoria-Long Island City,Soundview,4	
Astoria-Long Island City,South Bronx,17	
Astoria-Long Island City,Spuyten Duyvil,1	
Astoria-Long Island City,Steinway,1	
Astoria-Long Island City,Sunny Side,601	
Astoria-Long Island City,Sunset Park,4	
Astoria-Long Island City,Throggs Neck,3	
Astoria-Long Island City,Tremont,5	
Astoria-Long Island City,Tribeca,28	
Astoria-Long Island City,Union Port,3	
Astoria-Long Island City,University Heights,2	
Astoria-Long Island City,Upper East Side,882	
Astoria-Long Island City,Upper West Side,208	
Astoria-Long Island City,Utopia,15	
Astoria-Long Island City,Wakefield-Williamsbridge,1	
Astoria-Long Island City,Washington Heights,58	
Astoria-Long Island City,West Village,41	
Astoria-Long Island City,Williamsburg,84	
Astoria-Long Island City,Woodhaven-Richmond Hill,14	
Astoria-Long Island City,Woodlawn-Nordwood,2	
Astoria-Long Island City,Woodside,197	
Astoria-Long Island City,Yorkville,89	
Auburndale,Astoria-Long Island City,1	
Auburndale,Auburndale,3	
Auburndale,Carnegie Hill,1	
Auburndale,Clearview,1	
Auburndale,Flushing,1	
Auburndale,Harlem,1	
Auburndale,Jackson Heights,1	
Auburndale,Maspeth,1	
Auburndale,Middle Village,1	
Auburndale,Queensboro Hill,1	
Auburndale,Utopia,1	
Battery Park,Astoria-Long Island City,20	
Battery Park,Battery Park,730	
Battery Park,Bay Ridge,14	
Battery Park,Bedford-Stuyvesant,8	
Battery Park,Bensonhurst,12	
Battery Park,Boerum Hill,16	
Battery Park,Borough Park,11	
Battery Park,Brownsville,5	
Battery Park,Bushwick,9	
Battery Park,Canarsie,1	
Battery Park,Carnegie Hill,39	
Battery Park,Carroll Gardens,32	
Battery Park,Central Park,73	
Battery Park,Chelsea,1583	
Battery Park,Chinatown,118	
Battery Park,Clinton,594	
Battery Park,Cobble Hill,15	
Battery Park,Country Club,1	
Battery Park,Douglastown-Little Neck,1	
Battery Park,Downtown,78	
Battery Park,Dyker Heights,5	
Battery Park,East Brooklyn,1	
Battery Park,East Harlem,6	
Battery Park,East Village,339	
Battery Park,Financial District,1306	
Battery Park,Flushing,3	
Battery Park,Forest Hills,15	
Battery Park,Fort Green,46	
Battery Park,Garment District,746	
Battery Park,Glendale,1	
Battery Park,Gramercy,887	
Battery Park,Gravesend-Sheepshead Bay,21	
Battery Park,Greenwich Village,745	
Battery Park,Greenwood,7	
Battery Park,Hamilton Heights,7	
Battery Park,Harlem,21	
Battery Park,High Bridge,2	
Battery Park,Inwood,4	
Battery Park,Jackson Heights,12	
Battery Park,Jamaica,3	
Battery Park,Kings Bridge,2	
Battery Park,Little Italy,121	
Battery Park,Lower East Side,418	
Battery Park,Mapleton-Flatlands,13	
Battery Park,Maspeth,3	
Battery Park,Middle Village,3	
Battery Park,Midtown,2324	
Battery Park,Morningside Heights,24	
Battery Park,Morris Heights,1	
Battery Park,Morris Park,2	
Battery Park,Mott Haven,1	
Battery Park,Murray Hill,484	
Battery Park,Nkew Gardens,4	
Battery Park,North Sutton Area,61	
Battery Park,Park Slope,61	
Battery Park,Parkchester,1	
Battery Park,Queensboro Hill,1	
Battery Park,Ridgewood,2	
Battery Park,Riverdale,4	
Battery Park,Soho,954	
Battery Park,Soundview,1	
Battery Park,South Bronx,1	
Battery Park,Spuyten Duyvil,1	
Battery Park,Sunny Side,15	
Battery Park,Sunset Park,5	
Battery Park,The Rockaways,1	
Battery Park,Throggs Neck,1	
Battery Park,Tremont,4	
Battery Park,Tribeca,1381	
Battery Park,University Heights,1	
Battery Park,Upper East Side,699	
Battery Park,Upper West Side,505	
Battery Park,Utopia,7	
Battery Park,Washington Heights,22	
Battery Park,West Village,920	
Battery Park,Williams Bridge,1	
Battery Park,Williamsburg,61	
Battery Park,Woodhaven-Richmond Hill,1	
Battery Park,Woodside,8	
Battery Park,Yorkville,39	
Bay Ridge,Bay Ridge,24	
Bay Ridge,Bensonhurst,7	
Bay Ridge,Borough Park,4	
Bay Ridge,Carroll Gardens,3	
Bay Ridge,Chelsea,6	
Bay Ridge,Dyker Heights,4	
Bay Ridge,Fort Green,1	
Bay Ridge,Gramercy,3	
Bay Ridge,Gravesend-Sheepshead Bay,5	
Bay Ridge,Greenwood,1	
Bay Ridge,Lower East Side,1	
Bay Ridge,Mapleton-Flatlands,4	
Bay Ridge,Midtown,4	
Bay Ridge,Park Slope,2	
Bay Ridge,Sunset Park,9	
Bay Ridge,Upper East Side,3	
Bay Ridge,Woodside,1	
Baychester,Baychester,1	
Baychester,Woodlawn-Nordwood,1	
Baychester,Yorkville,1	
Bedford Park,Bedford Park,37	
Bedford Park,Central Park,1	
Bedford Park,East Harlem,3	
Bedford Park,Fordham,3	
Bedford Park,Gramercy,2	
Bedford Park,Hamilton Heights,1	
