NAME,NUMBER
Auburndale,87
Bedford Park,260
Brownsville,269
Carroll Gardens,27419
Clinton,469607
Downtown,33015
East Village,518938
Garment District,783181
Greenwich Village,684850
Greenwood,1474
Hamilton Heights,23887
Mapleton-Flatlands,1584
Middle Village,264
Ridgewood,428
Riverdale,133
Saintalbans,63
Soho,335978
Sunny Side,49733
Sunset Park,644
Washington Heights,15683
Woodhaven-Richmond Hill,550
Yorkville,112125
Battery Park,118189
Canarsie,304
Chelsea,974937
Chinatown,48896
City Island,1
East Harlem,39822
Forest Hills,7242
Glendale,238
Hunts Point,167
Midtown,2450792
Morris Heights,1291
Morris Park,122
Mott Haven,2874
Parkchester,1404
South Bronx,899
Steinway,49
Williamsburg,66516
Astoria-Long Island City,74894
Bay Ridge,606
Boerum Hill,21653
Bushwick,2701
Clearview,23
Fordham,193
Gramercy,1188470
High Bridge,986
Inwood,802
Jamaica,3306
Laurelton,73
Nkew Gardens,1761
Throggs Neck,159
Tribeca,257391
Union Port,201
Upper East Side,1979393
West Village,372971
Woodlawn-Nordwood,63
Bensonhurst,261
Cobble Hill,10822
Corona,772
Financial District,258516
Flushing,1664
Fort Green,31154
Jackson Heights,10376
Little Italy,129990
Lower East Side,318270
Maspeth,1507
Morningside Heights,94030
Murray Hill,495288
Park Slope,16406
Queensboro Hill,172
Spuyten Duyvil,76
The Rockaways,42
University Heights,291
Wakefield-Williamsbridge,84
Williams Bridge,78
Baychester,19
Bedford-Stuyvesant,5041
Borough Park,2667
Carnegie Hill,176762
Central Park,183808
College Point,1
Country Club,46
Douglastown-Little Neck,254
Dyker Heights,161
East Brooklyn,359
Flatbush,58
Gravesend-Sheepshead Bay,775
Harlem,55499
Kings Bridge,188
North Sutton Area,159962
Queens Village,102
Soundview,330
Springfield Gardens,587
Tremont,455
Upper West Side,1182422
Utopia,1223
Woodside,13676
