Month,From,To,Count
1,Astoria-Long Island City,Boerum Hill,63
1,Astoria-Long Island City,Dyker Heights,6
1,Astoria-Long Island City,Kings Bridge,19
1,Astoria-Long Island City,Saintalbans,18
1,Astoria-Long Island City,Tremont,31
1,Astoria-Long Island City,Wakefield-Williamsbridge,8
1,Astoria-Long Island City,West Village,320
1,Auburndale,Greenwich Village,1
1,Battery Park,Fordham,4
1,Battery Park,Mapleton-Flatlands,100
1,Battery Park,Spuyten Duyvil,7
1,Battery Park,University Heights,8
1,Battery Park,Utopia,30
1,Bay Ridge,Chinatown,1
1,Bay Ridge,Upper East Side,11
1,Baychester,Morris Park,2
1,Baychester,Parkchester,1
1,Bedford Park,High Bridge,3
1,Bedford-Stuyvesant,Bushwick,263
1,Bedford-Stuyvesant,Yorkville,11
1,Boerum Hill,Flushing,3
1,Boerum Hill,Garment District,208
1,Boerum Hill,Morris Park,1
1,Borough Park,Carnegie Hill,2
1,Borough Park,Cobble Hill,5
1,Borough Park,Greenwood,21
1,Borough Park,Nkew Gardens,1
1,Borough Park,Upper West Side,16
1,Borough Park,Woodhaven-Richmond Hill,2
1,Brownsville,Harlem,2
1,Bushwick,Battery Park,5
1,Bushwick,East Village,66
1,Bushwick,Flushing,3
1,Bushwick,Forest Hills,3
1,Bushwick,Williamsburg,467
1,Carnegie Hill,Greenwich Village,1832
1,Carnegie Hill,Murray Hill,2866
1,Carnegie Hill,Park Slope,98
1,Carnegie Hill,Utopia,13
1,Carroll Gardens,Ridgewood,30
1,Central Park,Hamilton Heights,514
1,Central Park,Kings Bridge,22
1,Central Park,Mapleton-Flatlands,23
1,Central Park,West Village,1274
1,Chelsea,Borough Park,466
1,Chelsea,Brownsville,105
1,Chelsea,Nkew Gardens,239
1,Chelsea,Queensboro Hill,60
1,Chelsea,Springfield Gardens,29
1,Chinatown,Bedford Park,1
1,Chinatown,Harlem,219
1,Chinatown,Inwood,11
1,Chinatown,Williams Bridge,3
1,Clearview,Harlem,1
1,Clearview,Nkew Gardens,1
1,Clinton,Chelsea,54165
1,Clinton,Sunny Side,1447
1,Clinton,Upper East Side,25612
1,Clinton,Wakefield-Williamsbridge,54
1,Clinton,Washington Heights,2933
1,Cobble Hill,Sunset Park,33
1,Corona,Boerum Hill,2
1,Corona,Corona,53
1,Corona,Saintalbans,2
1,Corona,West Village,8
1,Douglastown-Little Neck,North Sutton Area,1
1,Downtown,Astoria-Long Island City,159
1,Downtown,Boerum Hill,583
1,Downtown,Bushwick,212
1,Downtown,Canarsie,22
1,Downtown,Chelsea,1057
1,Downtown,Greenwood,147
1,Downtown,Hamilton Heights,31
1,Downtown,Saintalbans,3
1,East Brooklyn,Jamaica,3
1,East Brooklyn,Sunny Side,1
1,East Harlem,Fordham,36
1,East Harlem,Fort Green,68
1,East Harlem,Greenwood,3
1,East Harlem,Jamaica,11
1,East Harlem,North Sutton Area,240
1,East Harlem,Parkchester,54
1,East Harlem,Sunset Park,4
1,East Village,Bedford Park,61
1,East Village,Fordham,65
1,East Village,Upper East Side,32256
1,Financial District,Auburndale,15
1,Financial District,Canarsie,68
1,Financial District,East Brooklyn,45
1,Financial District,Morningside Heights,281
1,Flushing,Fort Green,4
1,Flushing,Laurelton,1
1,Flushing,Utopia,13
1,Fordham,Fordham,70
1,Fordham,Hamilton Heights,2
1,Forest Hills,Bedford-Stuyvesant,9
1,Forest Hills,Bensonhurst,7
1,Forest Hills,Flushing,101
1,Forest Hills,Murray Hill,164
1,Forest Hills,Washington Heights,32
1,Fort Green,Central Park,57
1,Fort Green,High Bridge,13
1,Fort Green,Jamaica,13
1,Fort Green,Soundview,6
1,Fort Green,Springfield Gardens,5
1,Fort Green,Throggs Neck,2
1,Garment District,Clinton,44408
1,Garment District,Country Club,77
1,Garment District,Ridgewood,198
1,Garment District,Sunset Park,228
1,Garment District,Tribeca,9705
1,Garment District,Utopia,228
1,Glendale,Murray Hill,3
1,Gramercy,Country Club,43
1,Gramercy,Gramercy,149983
1,Gramercy,Middle Village,323
1,Gramercy,Nkew Gardens,379
1,Gramercy,Ridgewood,368
1,Gramercy,Sunny Side,4547
1,Gramercy,Sunset Park,398
1,Gramercy,Woodlawn-Nordwood,66
1,Gravesend-Sheepshead Bay,Mapleton-Flatlands,35
1,Gravesend-Sheepshead Bay,Maspeth,1
1,Greenwich Village,Flushing,74
1,Greenwich Village,Mott Haven,186
1,Greenwood,Chelsea,36
1,Greenwood,Clearview,3
1,Greenwood,Harlem,3
1,Greenwood,Inwood,1
1,Greenwood,Soho,9
1,Hamilton Heights,Bay Ridge,6
1,Hamilton Heights,Downtown,23
1,Hamilton Heights,Riverdale,36
1,Hamilton Heights,Woodside,23
1,Harlem,Astoria-Long Island City,393
1,Harlem,Bay Ridge,8
1,Harlem,Carroll Gardens,13
1,Harlem,Flushing,16
1,Harlem,Upper West Side,8741
1,High Bridge,Spuyten Duyvil,1
1,Hunts Point,Bedford Park,1
1,Hunts Point,Midtown,5
1,Hunts Point,Union Port,3
1,Jackson Heights,Park Slope,35
1,Jackson Heights,Parkchester,10
1,Jackson Heights,Sunset Park,8
1,Jackson Heights,Yorkville,97
1,Jamaica,Borough Park,2
1,Jamaica,Downtown,4
1,Kings Bridge,Carnegie Hill,1
1,Kings Bridge,Morris Park,1
1,Little Italy,Bensonhurst,14
1,Little Italy,Central Park,616
1,Little Italy,East Harlem,172
1,Little Italy,Mapleton-Flatlands,55
1,Little Italy,Midtown,12302
1,Little Italy,Soundview,7
1,Little Italy,The Rockaways,2
1,Little Italy,Throggs Neck,8
1,Little Italy,University Heights,3
1,Little Italy,Upper East Side,6300
1,Lower East Side,Carnegie Hill,682
1,Lower East Side,Central Park,1263
1,Lower East Side,Greenwich Village,20170
1,Lower East Side,Morris Heights,32
1,Lower East Side,Throggs Neck,17
1,Mapleton-Flatlands,Boerum Hill,5
1,Mapleton-Flatlands,Fordham,1
1,Mapleton-Flatlands,Jackson Heights,2
1,Mapleton-Flatlands,Lower East Side,9
1,Maspeth,Astoria-Long Island City,26
1,Middle Village,Gramercy,4
1,Midtown,Bedford Park,432
1,Midtown,Cobble Hill,1275
1,Midtown,Financial District,39178
1,Midtown,Hamilton Heights,4739
1,Midtown,Morris Heights,274
1,Midtown,Queensboro Hill,268
1,Morningside Heights,Bensonhurst,2
1,Morningside Heights,Chinatown,88
1,Morningside Heights,Downtown,39
1,Morningside Heights,East Harlem,2602
1,Morningside Heights,Sunny Side,83
1,Morningside Heights,Wakefield-Williamsbridge,10
1,Morris Heights,Chelsea,5
1,Morris Heights,Williams Bridge,3
1,Morris Park,Mott Haven,1
1,Mott Haven,Bedford Park,12
1,Mott Haven,Mott Haven,826
1,Mott Haven,South Bronx,92
1,Mott Haven,Tremont,22
1,Mott Haven,Utopia,4
1,Murray Hill,Bensonhurst,95
1,Murray Hill,Corona,3
1,Murray Hill,Douglastown-Little Neck,38
1,Murray Hill,East Harlem,1065
1,Murray Hill,Forest Hills,784
1,Murray Hill,Gravesend-Sheepshead Bay,268
1,Murray Hill,Greenwich Village,18939
1,Murray Hill,Park Slope,1063
1,Murray Hill,Queens Village,20
1,Murray Hill,Tremont,39
1,Murray Hill,Upper East Side,57134
1,Nkew Gardens,Harlem,6
1,Nkew Gardens,Middle Village,3
1,North Sutton Area,Astoria-Long Island City,1532
1,North Sutton Area,Flushing,28
1,North Sutton Area,Harlem,518
1,North Sutton Area,Inwood,63
1,North Sutton Area,Mott Haven,87
1,North Sutton Area,Williams Bridge,15
1,Park Slope,Battery Park,45
